Test Size,K,Accuracy
0.4,2,0.9542857142857143
0.4,4,0.9613095238095238
0.4,5,0.9616071428571429
0.4,6,0.9607738095238095
0.4,7,0.9585714285714285
0.4,10,0.9578571428571429
0.3,2,0.9565079365079365
0.3,4,0.964047619047619
0.3,5,0.9635714285714285
0.3,6,0.9618253968253968
0.3,7,0.9625396825396826
0.3,10,0.9595238095238096
0.25,2,0.9583809523809523
0.25,4,0.9640952380952381
0.25,5,0.9638095238095238
0.25,6,0.9616190476190476
0.25,7,0.9614285714285714
0.25,10,0.9591428571428572
0.2,2,0.9577380952380953
0.2,4,0.9635714285714285
0.2,5,0.9636904761904762
0.2,6,0.9616666666666667
0.2,7,0.9613095238095238
0.2,10,0.9586904761904762
0.1,2,0.9611904761904762
0.1,4,0.9657142857142857
0.1,5,0.9657142857142857
0.1,6,0.9628571428571429
0.1,7,0.9647619047619047
0.1,10,0.9623809523809523
0.05,2,0.9580952380952381
0.05,4,0.9619047619047619
0.05,5,0.9647619047619047
0.05,6,0.96
0.05,7,0.9619047619047619
0.05,10,0.9604761904761905
